2020-02-05 13:47:05 upgrade gir1.2-javascriptcoregtk-4.0:amd64 2.26.2-0ubuntu0.18.04.1 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:05 status half-configured gir1.2-javascriptcoregtk-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:05 status unpacked gir1.2-javascriptcoregtk-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:06 status half-installed gir1.2-javascriptcoregtk-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:06 status half-installed gir1.2-javascriptcoregtk-4.0:amd64 2.26.2-0ubuntu0.18.04.1
2020-02-05 13:47:07 status unpacked gir1.2-javascriptcoregtk-4.0:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:07 status unpacked gir1.2-javascriptcoregtk-4.0:amd64 2.26.3-0ubuntu0.18.04.1
2020-02-05 13:47:07 upgrade libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:07 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:07 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:08 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:08 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:08 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:08 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:09 upgrade libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:09 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:09 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:09 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:10 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:10 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:10 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:11 upgrade libsasl2-modules:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2 2.1.27~101-g0780600+dfsg-3ubuntu2.1
2020-02-05 13:47:11 status half-configured libsasl2-modules:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
2020-02-05 13:47:11 status unpacked libsasl2-modules:amd64 2.1.27~101-g0780600+dfsg-3ubuntu2
