v8-version,7,1,302,31,0
code-creation,Builtin,3,3882,0x561e6a1eaec0,12,ConsoleAssert
code-creation,Builtin,3,3889,0x561e6a1eaee0,400,FastConsoleAssert
code-creation,Builtin,3,3893,0x561e6a1eb080,12,ConsoleProfile
code-creation,Builtin,3,3897,0x561e6a1eb0a0,12,ConsoleProfileEnd
code-creation,Builtin,3,3901,0x561e6a1eb0c0,12,ConsoleTime
code-creation,Builtin,3,3905,0x561e6a1eb0e0,12,ConsoleTimeLog
code-creation,Builtin,3,3909,0x561e6a1eb100,12,ConsoleTimeEnd
code-creation,Builtin,3,3913,0x561e6a1eb120,12,ConsoleTimeStamp
code-creation,Builtin,3,3917,0x561e6a1eb140,12,ConsoleContext
code-creation,Builtin,3,3921,0x561e6a1eb160,12,DataViewConstructor
code-creation,Builtin,3,3925,0x561e6a1eb180,12,DateConstructor
code-creation,Builtin,3,3929,0x561e6a1eb1a0,210,DatePrototypeGetDate
code-creation,Builtin,3,3933,0x561e6a1eb280,210,DatePrototypeGetDay
code-creation,Builtin,3,3938,0x561e6a1eb360,210,DatePrototypeGetFullYear
code-creation,Builtin,3,3942,0x561e6a1eb440,210,DatePrototypeGetHours
code-creation,Builtin,3,3946,0x561e6a1eb520,186,DatePrototypeGetMilliseconds
code-creation,Builtin,3,3951,0x561e6a1eb5e0,210,DatePrototypeGetMinutes
code-creation,Builtin,3,3955,0x561e6a1eb6c0,210,DatePrototypeGetMonth
code-creation,Builtin,3,3960,0x561e6a1eb7a0,210,DatePrototypeGetSeconds
code-creation,Builtin,3,3964,0x561e6a1eb880,150,DatePrototypeGetTime
code-creation,Builtin,3,3968,0x561e6a1eb920,186,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,3973,0x561e6a1eb9e0,186,DatePrototypeGetUTCDate
code-creation,Builtin,3,3977,0x561e6a1ebaa0,186,DatePrototypeGetUTCDay
code-creation,Builtin,3,3981,0x561e6a1ebb60,186,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,3986,0x561e6a1ebc20,186,DatePrototypeGetUTCHours
code-creation,Builtin,3,3990,0x561e6a1ebce0,186,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,3995,0x561e6a1ebda0,186,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,4000,0x561e6a1ebe60,186,DatePrototypeGetUTCMonth
code-creation,Builtin,3,4004,0x561e6a1ebf20,186,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,4009,0x561e6a1ebfe0,150,DatePrototypeValueOf
code-creation,Builtin,3,4013,0x561e6a1ec080,480,DatePrototypeToPrimitive
code-creation,Builtin,3,4017,0x561e6a1ec280,12,DatePrototypeGetYear
code-creation,Builtin,3,4022,0x561e6a1ec2a0,12,DatePrototypeSetYear
code-creation,Builtin,3,4026,0x561e6a1ec2c0,12,DateNow
code-creation,Builtin,3,4030,0x561e6a1ec2e0,12,DateParse
code-creation,Builtin,3,4033,0x561e6a1ec300,12,DatePrototypeSetDate
code-creation,Builtin,3,4037,0x561e6a1ec320,12,DatePrototypeSetFullYear
code-creation,Builtin,3,4042,0x561e6a1ec340,12,DatePrototypeSetHours
code-creation,Builtin,3,4046,0x561e6a1ec360,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,4051,0x561e6a1ec380,12,DatePrototypeSetMinutes
code-creation,Builtin,3,4055,0x561e6a1ec3a0,12,DatePrototypeSetMonth
code-creation,Builtin,3,4059,0x561e6a1ec3c0,12,DatePrototypeSetSeconds
code-creation,Builtin,3,4064,0x561e6a1ec3e0,12,DatePrototypeSetTime
code-creation,Builtin,3,4068,0x561e6a1ec400,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,4072,0x561e6a1ec420,12,DatePrototypeSetUTCFullYear
